IdProvincia;IdEstacion;Fecha;Year;Dia;t_media_grados;t_max_grados;hora_temp_max;t_min_grados;hora_temp_min;humedad_media_perc;humedad_max_perc;hora_hum_max;humedad_min_perc;hora_hum_min;vel_viento_m_s;dir_viento_grad;VelVientoMa_m_s;hora_vel_max;dir_viento_vel_max_grad;radiacion_MJ_m2);precipitacion_mm;PePMon;EtPMon
5;1;03/02/2010;2010;34;2,89;12,42;13:20;-5,18;05:30;71,7;92;05:40;33,57;13:00;1,52;189,2;4,91;14:07;352,7;11,21;0;0;1,44
5;1;04/02/2010;2010;35;7,15;12,42;13:10;2,96;07:00;86;98,2;08:00;56,27;00:50;4,02;230;13,58;22:18;277,9;5,98;4,4;1,36;1,56
5;1;05/02/2010;2010;36;5;8,49;13:20;1,75;05:00;86,4;94,5;05:20;73,2;10:40;5,64;256,5;12,18;03:43;286,5;8,91;2,6;0;1,12
5;1;06/02/2010;2010;37;5,1;9,82;15:10;-0,25;23:20;86,5;97,4;23:50;72,6;15:10;3,45;245,4;9,47;11:15;256,2;7,08;0;0;1,02
5;1;07/02/2010;2010;38;4,63;11,29;14:20;-1,32;04:40;87,4;98;06:10;60,78;14:40;1,31;193;4,49;16:53;288,9;7,02;0;0;0,98
5;1;08/02/2010;2010;39;5,94;9,49;15:10;2,56;22:30;90;97,4;07:00;69,62;15:00;3,57;261,9;8,18;09:35;263,9;5,08;9,4;5,19;1,06
5;1;09/02/2010;2010;40;3,16;7,69;12:50;-2,64;23:30;87,1;97;07:30;67,16;15:20;3,34;323;8,44;08:40;282,6;6,34;0;0;1,03
5;1;10/02/2010;2010;41;-0,46;3,28;14:00;-3,31;06:40;84,6;97,6;21:10;63,89;16:00;2,01;111,2;6,69;23:20;46,28;8,95;0;0;0,83
5;1;11/02/2010;2010;42;-2,45;1,88;14:50;-5,98;06:50;76,2;90,9;07:30;53,19;14:30;2,37;18,31;8,2;13:57;343,8;12,37;0,2;0;1,01
5;1;12/02/2010;2010;43;-2,64;1,28;11:50;-6,18;03:40;77,1;90,9;04:00;59,89;11:40;3,02;77,1;8,25;13:29;34,11;9,63;0;0;0,94
5;1;13/02/2010;2010;44;-3;2,88;14:30;-7,32;04:30;75,8;94,2;05:00;48,09;14:30;2,29;41,09;7,2;16:37;32,49;13,63;0;0;1,1
5;1;14/02/2010;2010;45;-3,4;1,21;14:40;-8,26;06:00;80,9;94;05:10;61,35;14:40;1,92;84,5;6,81;12:04;67,28;9,7;0;0;0,82
5;1;15/02/2010;2010;46;0,25;3,09;13:40;-3,11;00:00;83,6;93,7;00:00;69,6;09:10;2,99;108,9;9,87;13:12;119,5;4,57;0;0;0,81
5;1;16/02/2010;2010;47;4,18;9,69;14:50;-0,65;03:00;87,8;96,2;09:20;69,09;14:20;1,94;140,3;6,43;01:32;170,3;6,87;10,2;5,76;1,01
5;1;17/02/2010;2010;48;4,14;6,16;14:10;0,09;00:00;93,2;96,7;01:50;87,5;21:40;4;252,1;10,04;18:07;275,4;3,92;9;4,89;0,63
5;1;18/02/2010;2010;49;1,57;4,76;14:00;-1,91;05:50;87,8;96,2;00:00;71,3;14:10;1,9;67,09;4,52;14:37;63,27;6,88;0;0;0,83
5;1;19/02/2010;2010;50;0,98;5,28;14:20;-0,72;06:50;89;97,2;19:20;65,34;15:00;3,06;302,5;9,83;17:02;326,8;8,16;0,2;0;1,03
5;1;20/02/2010;2010;51;1,7;6,76;15:30;-1,51;06:40;80,2;93;06:50;56,19;15:20;3,24;232;7,79;10:09;269,2;10,95;0,6;0;1,37
5;1;21/02/2010;2010;52;5,24;10,1;14:00;2,22;06:30;80,2;87,6;00:00;71,6;10:10;5,23;185,6;13;05:12;169,5;8,79;1,6;0;1,44
5;1;22/02/2010;2010;53;6,91;10,55;13:30;3,22;00:20;79,5;89,9;00:30;65,14;15:10;5,53;217,5;14,05;12:07;231,8;11,29;0,6;0;1,71
5;1;23/02/2010;2010;54;6,53;10,09;12:20;4,29;01:00;82,9;93,9;03:30;69,42;11:10;5,69;227,7;14;13:57;238,2;9,39;1,4;0;1,47
5;1;24/02/2010;2010;55;8,05;11,96;13:20;2,62;05:10;76,6;92,9;01:40;64,81;11:00;8,4;245,6;17,2;13:39;248,7;15,71;2;0;2,03
5;1;25/02/2010;2010;56;8,63;11,82;13:40;3,42;00:00;75,2;90,1;00:00;57,06;02:30;6,95;232,4;18,14;14:22;240;7,19;2;0;2,06
5;1;26/02/2010;2010;57;6,13;11,15;13:50;2,36;03:20;76,3;91,5;07:00;47,94;13:50;2,84;233,8;7,46;00:58;252,5;14,75;0;0;1,95
5;1;27/02/2010;2010;58;10,7;17,29;15:30;5,02;00:00;73,4;88,4;23:10;52,28;15:00;8,46;193,3;19,51;15:53;199,3;10,01;1,6;0;3,16
5;1;28/02/2010;2010;59;6,45;11,41;13:50;1,02;06:30;70,2;93,8;06:40;39,64;13:30;3,41;216,8;9,48;01:45;256,3;15,05;0,4;0;2,24
5;1;01/03/2010;2010;60;5,27;10,75;13:00;1,02;23:20;79,5;93;02:30;56,04;13:00;4,31;234,4;11,04;11:20;258;13,72;0,2;0;1,92
5;1;02/03/2010;2010;61;7,08;11,82;11:20;-0,51;02:20;62,12;92,8;01:50;36,85;11:00;4,22;140,2;11,74;10:44;158,3;8,98;2,2;0;2,33
5;1;03/03/2010;2010;62;6,56;11,16;14:00;3,43;19:40;86,3;96,4;21:00;62,26;14:00;2,94;237,5;8,06;12:44;281,9;9,4;2,2;0;1,52
5;1;04/03/2010;2010;63;6,99;11,09;15:20;3,96;00:00;87;96,9;07:30;65,73;13:00;2,09;258,8;5,58;08:54;256,1;10,68;0;0;1,43
5;1;05/03/2010;2010;64;4,72;6,76;12:30;3,22;21:40;93,2;97,2;03:30;83;00:00;2,51;80,8;6,99;23:43;125,1;4,48;17,2;10,49;0,78
5;1;06/03/2010;2010;65;4,31;6,69;10:50;3,22;06:10;78,6;86,8;22:20;66,83;10:30;5,32;152,1;11,09;12:25;158,8;9,67;1,6;0;1,51
5;1;07/03/2010;2010;66;3,02;5,62;12:40;-1,65;00:00;93,6;98,6;20:20;78,8;23:40;2,5;18,12;7,46;23:06;35,16;3,92;5;1,85;0,76
5;1;08/03/2010;2010;67;-1,5;1,88;15:40;-4,18;23:50;70,9;83,1;23:50;43,89;15:50;3,06;33,87;7,72;17:11;38,01;13,95;0,2;0;1,51
5;1;09/03/2010;2010;68;0,04;5,02;13:30;-4,65;00:20;65,43;86,7;02:00;40,13;16:30;3,61;39,91;9,86;13:01;8,93;19,45;0;0;1,96
5;1;10/03/2010;2010;69;-1,2;4,41;15:20;-6,38;05:40;72,6;91,7;02:10;47,22;15:20;1,63;80,8;7,11;11:08;36,47;18,14;0;0;1,53
5;1;11/03/2010;2010;70;-0,48;3,22;14:20;-5,25;04:50;73,7;93,9;05:00;52,78;14:20;2,52;67,1;6,3;09:31;50,17;12,01;0;0;1,31
5;1;12/03/2010;2010;71;-0,08;3,02;15:30;-3,78;23:40;83;96,1;06:10;62,35;16:40;2,56;34,8;7,99;09:35;20,53;6,2;0;0;0,99
5;1;13/03/2010;2010;72;1,18;7,62;15:00;-4,25;00:40;77,9;95,7;03:20;49,09;15:00;1,36;329,5;6,56;20:01;331,1;11,93;0;0;1,42
5;1;14/03/2010;2010;73;1,72;9,08;14:30;-4,38;05:40;75;96,1;01:00;41,06;15:40;2,2;20,75;7,44;14:59;37,7;19,3;0;0;2,06
5;1;15/03/2010;2010;74;2,55;12,41;15:50;-6,18;06:10;72,4;96,5;06:30;27,07;15:10;1,23;293,2;4,57;13:22;5,51;20,72;0;0;2,24
5;1;16/03/2010;2010;75;7,53;15,61;14:50;-2,44;02:20;46,17;88;02:30;16,04;12:30;3,35;166,1;8,91;09:57;166,3;19,64;0;0;3,63
5;1;17/03/2010;2010;76;9,5;16,75;14:20;0,29;04:50;38,81;67,6;04:50;20,86;15:10;3,96;167,5;9,89;12:51;161,6;20,51;0;0;4,12
5;1;18/03/2010;2010;77;11,93;19,02;14:40;7,16;21:50;55,91;86,6;22:00;39,71;11:40;3,87;195,6;9,49;03:55;171,9;13,11;0;0;3,39
5;1;19/03/2010;2010;78;12,34;16,76;15:20;7,29;00:30;72,2;89;10:00;53,43;17:50;3,55;193,7;9,46;12:23;242;6,67;2,6;0;2,26
5;1;20/03/2010;2010;79;13,06;16,17;09:30;9,56;06:20;64,9;91;23:40;48,74;14:00;4,99;203,9;15,79;10:33;212,7;6,92;0,6;0;2,63
5;1;21/03/2010;2010;80;10,02;13,96;10:20;6,76;20:40;84,8;94,7;03:00;67,46;11:20;2,17;192,5;6,91;05:17;223,8;10,13;9,8;5,48;1,71
5;1;22/03/2010;2010;81;9,14;15,82;15:20;2,96;04:40;83,9;96,8;05:20;53,88;15:20;1,58;239,7;5,49;08:25;309,3;19,16;0,2;0;2,47
5;1;23/03/2010;2010;82;10,27;15,76;14:20;3,69;01:50;74,8;95,8;00:50;49,82;17:40;2,66;174,1;7,41;14:20;170,4;11,83;0;0;2,32
5;1;24/03/2010;2010;83;9,99;15,16;12:00;6,09;23:50;80,5;94,2;19:10;52,75;12:40;3,92;194,6;11,73;16:56;261,6;8,8;6,2;2,8;2,29
5;1;25/03/2010;2010;84;5,95;8,83;15:00;1,89;00:00;79,6;94,3;01:50;68,83;14:50;5,52;231;12,48;18:36;237,1;7,45;0,4;0;1,45
5;1;26/03/2010;2010;85;5,71;10,96;14:20;1,09;05:30;75,8;92,4;19:20;55,7;14:10;5,77;234,9;12,78;14:07;252,5;16,37;0,8;0;2,35
5;1;27/03/2010;2010;86;6,88;12,62;14:00;1,56;05:40;76,8;93,2;05:40;48,14;14:10;3,19;262,5;7,98;07:18;255,8;20,58;0;0;2,69
5;1;28/03/2010;2010;87;9,66;17,35;15:00;2,36;04:10;69,07;94,3;02:20;37,5;11:00;1,76;177,2;6,14;14:49;332,5;20,39;0;0;3,02
5;1;29/03/2010;2010;88;8,58;14,5;14:30;3,43;00:40;74,6;94,5;05:50;51,96;10:10;5,89;234,8;19,21;21:11;281,3;15,33;1,6;0;2,82
5;1;30/03/2010;2010;89;5,81;11,03;14:20;0,96;23:50;76,8;92,4;23:50;50,09;14:20;6,94;264,2;14,95;03:22;264,7;14,22;0,2;0;2,54
5;1;31/03/2010;2010;90;5,39;10,82;13:20;1,16;03:30;79,5;93,9;22:50;56,44;13:20;5,07;258;11,48;13:56;243,6;17,62;0,4;0;2,34
5;1;01/04/2010;2010;91;3,84;9,69;15:50;-0,44;02:00;75,1;96,8;03:30;40,86;15:50;1,99;265,2;7,04;15:56;272,8;17,02;0;0;2,19
5;1;02/04/2010;2010;92;5,73;12,76;14:00;-2,78;05:20;72,7;95,1;05:40;43,86;12:20;3,04;238,1;8,71;14:07;268,2;23,45;0;0;2,92
5;1;03/04/2010;2010;93;5,78;10,36;16:10;0,29;21:40;81,2;94,1;00:00;54,24;16:10;3,96;259,6;9,33;13:15;280,5;10,57;1,4;0;1,97
5;1;04/04/2010;2010;94;4,46;12,09;16:30;-1,38;05:10;72,8;96,7;05:20;32,76;16:00;1,81;282,3;5,26;12:31;336,8;24,38;0;0;2,87
5;1;05/04/2010;2010;95;8,72;16,55;16:00;-1,24;01:40;55,18;90,4;02:00;24,93;14:40;2,77;149,3;7,48;12:48;104,7;23,75;0;0;3,8
5;1;06/04/2010;2010;96;11,41;18,36;13:50;4,89;04:50;52,18;74,2;23:30;32,29;13:50;3,22;226,4;7,16;08:15;172,4;22,39;0;0;4,16
5;1;07/04/2010;2010;97;7,97;12,48;15:40;1,69;00:00;69,69;94,7;05:10;46,33;15:40;3,05;23,49;8,01;01:25;320,9;22,09;0,2;0;2,91
5;1;08/04/2010;2010;98;6,71;15,88;15:40;-0,44;05:30;65,47;90,8;23:30;30,82;16:00;1,88;40,78;6,16;13:50;39,77;25,34;0;0;3,42
5;1;09/04/2010;2010;99;7,26;16,89;16:10;-3,78;03:30;63,57;96,5;05:40;30,02;17:30;1,48;81,5;5,02;23:41;157,9;25,45;0;0;3,38
5;1;10/04/2010;2010;100;12,18;18,89;15:20;6,16;05:00;47,26;68,43;03:10;20,45;12:30;2,98;126,8;7,65;08:18;114;25,36;0;0;4,75
5;1;11/04/2010;2010;101;11,15;19,75;14:10;2,03;04:30;54,18;82;04:30;23,99;16:20;1,77;47,58;5,72;13:31;65,77;25,88;0;0;4,08
5;1;12/04/2010;2010;102;6,71;15,01;12:40;-1,44;05:10;64,14;93,8;02:40;36,03;13:00;2,97;25,72;9,61;14:00;41,01;21,31;0;0;3,31
5;1;13/04/2010;2010;103;7,17;13,08;14:20;0,76;05:20;66,99;82,1;00:00;50,81;14:40;2,55;116,8;7,31;16:25;159,3;17,4;0;0;2,64
5;1;14/04/2010;2010;104;9,04;13,29;11:50;5,69;02:40;85,5;95,1;05:40;63,86;12:50;1,91;102,7;5,81;23:27;136,3;10,97;4,6;1,53;1,87
5;1;15/04/2010;2010;105;11,47;16,55;15:00;7,49;02:50;77,4;94,6;00:40;53,74;15:10;3,61;163,9;8,66;11:12;160,9;22,02;7,4;3,73;3,35
5;1;16/04/2010;2010;106;12,32;17,89;13:20;7,36;23:50;70,3;91,7;23:30;33,36;13:00;3,18;160,6;8,21;12:06;156,5;21,22;0,4;0;3,94
5;1;17/04/2010;2010;107;9,96;14,09;16:20;6,7;01:10;83,3;94,6;23:50;63,72;12:40;1,68;149,6;5,71;18:06;246,5;12,71;4,6;1,53;2,07
5;1;18/04/2010;2010;108;9,98;15,29;13:20;5,36;03:10;83,5;96,1;03:30;58,09;13:40;2,38;183,4;7,43;10:29;161;17,67;0,8;0;2,67
5;1;19/04/2010;2010;109;11,61;17,95;14:50;4,49;03:30;76,1;96,4;05:40;49;14:50;1,39;243;5,32;12:38;329,2;22,61;0;0;3,29
5;1;20/04/2010;2010;110;12,26;18,76;15:00;5,16;05:00;71,3;97;05:20;42,85;16:40;2,16;169,8;7,7;13:03;152,9;21,08;0;0;3,51
5;1;21/04/2010;2010;111;13,23;18,22;10:20;7,96;05:10;76,7;96,1;23:20;54,35;10:00;2,05;192;7,15;09:53;194,2;12,41;3;0,17;2,53
5;1;22/04/2010;2010;112;12,38;17,69;15:10;8,56;22:40;82,4;98,4;04:50;54,81;15:40;2,4;269,1;9,35;18:59;298,8;20,61;2,8;0;3,23
5;1;23/04/2010;2010;113;12,11;18,69;14:50;5,76;05:10;81,3;99,1;06:00;46,32;15:20;1,49;273,4;5,12;12:12;320,5;23,88;0,2;0;3,55
5;1;24/04/2010;2010;114;13,78;20,35;15:50;5,96;04:40;75,2;97,9;05:10;42,71;14:30;1,51;252;5,66;14:03;296,9;26,68;0;0;4,06
5;1;25/04/2010;2010;115;15,15;22,75;14:30;7,16;05:00;72,7;95,9;05:30;41,56;14:30;1,36;276,7;5,5;15:51;354,5;27,12;0;0;4,32
5;1;26/04/2010;2010;116;16,27;24,82;14:50;6,56;05:00;68,5;96,5;05:20;30,54;13:10;1,26;242;4,75;15:10;230,6;27,19;0;0;4,6
5;1;27/04/2010;2010;117;16,38;24,75;15:10;7,56;04:20;64;92,1;05:00;25,19;14:20;1,47;239,9;4,97;09:52;326,5;25,05;0;0;4,6
5;1;28/04/2010;2010;118;18,44;26,89;13:20;7,9;03:00;52,7;87,6;03:10;23,52;11:50;2,49;177,7;7,41;10:44;199,6;25,98;0;0;5,65
5;1;29/04/2010;2010;119;17,61;23,69;14:00;10,76;23:20;63,63;90,2;23:40;44,31;12:10;2,61;241,2;8,39;15:53;285,8;22,86;0;0;4,52
5;1;30/04/2010;2010;120;14,78;21,63;14:30;6,89;04:10;65,34;95,7;05:20;23,46;16:00;2,07;252,4;7,2;14:56;279;22,1;0;0;4,35
5;1;01/05/2010;2010;121;12,89;18,56;14:20;7,83;23:00;73,5;89,9;23:50;43,52;16:50;2,54;291,2;6,77;06:16;290,2;20,99;0,2;0;3,74
5;1;02/05/2010;2010;122;13,03;19,43;14:00;6,62;00:00;65,27;89,2;04:40;31,48;14:00;3,23;288,2;7,74;14:32;329,4;24,23;0;0;4,56
5;1;03/05/2010;2010;123;6,32;10,89;11:10;-0,04;23:50;74,9;93;23:20;51,43;11:20;3,77;16,9;11,33;12:36;0,28;14,58;2,4;0;2,4
5;1;04/05/2010;2010;124;3,91;10,42;14:30;-2,78;23:40;70,2;94,6;01:20;41,6;13:20;3,92;3,51;11,05;10:29;27,93;18,22;0;0;2,72
5;1;05/05/2010;2010;125;5,55;13,16;15:50;-2,58;00:00;62,21;92,7;00:00;33,23;15:20;2,65;0,95;7,39;09:29;17,1;22,65;0;0;3,31
5;1;06/05/2010;2010;126;6,35;14,21;15:20;-3,58;04:50;65,64;94,9;04:30;36,23;15:50;1,55;101,7;5,16;08:08;76,7;28,14;0;0;3,55
5;1;07/05/2010;2010;127;8,37;14,9;10:50;1,83;00:00;75,7;91,5;16:30;42,72;14:00;2,84;244,4;9,72;15:16;230,1;13,81;0,2;0;2,82
5;1;08/05/2010;2010;128;9,36;14,49;10:30;3,43;03:40;76,4;95,7;00:00;43,86;09:50;2,67;219,4;7,76;09:28;234;14,91;6,6;3,12;2,79
5;1;09/05/2010;2010;129;10,04;14,83;13:20;3,36;23:40;83,3;96,6;01:00;62,59;10:20;3,11;227,1;10,35;13:20;255,3;15,16;5;1,85;2,49
5;1;10/05/2010;2010;130;8,37;16,02;12:10;0,76;04:30;73,8;96,7;04:50;35,5;14:40;2,59;239,9;10,93;16:07;271,1;26,97;0,2;0;3,94
5;1;11/05/2010;2010;131;9,44;14,69;14:30;3,22;04:50;73,2;96,6;05:10;38,04;15:00;1,78;261,5;7,95;15:12;227,7;19,5;2;0;3,1
5;1;12/05/2010;2010;132;8,35;14,03;14:50;4,82;00:00;82,6;96,2;04:30;44,73;15:20;2,95;275;8,69;15:57;328,2;16,32;5,2;2,02;2,88
5;1;13/05/2010;2010;133;4,86;8,23;15:10;2,02;21:00;88,9;96,7;07:40;68,15;16:20;2,26;355;5,5;19:28;27,55;7,6;2,4;0;1,36
5;1;14/05/2010;2010;134;5,92;9,1;18:10;1,62;05:10;85,3;95,8;03:00;62,14;09:40;3,18;297,4;8,13;15:19;270,5;13,99;1,8;0;2
5;1;15/05/2010;2010;135;7,41;14,1;14:00;1,63;04:30;71,9;95,2;04:40;40,05;15:20;2,99;320,3;8,8;14:09;322,8;25,56;0;0;3,62
5;1;16/05/2010;2010;136;8,13;16,48;15:10;-1,57;04:20;67,28;96,9;04:40;23,86;15:50;1,44;47,83;5,1;08:08;68,48;30,33;0;0;4,14
5;1;17/05/2010;2010;137;11,21;20,22;14:20;0,56;04:40;64,68;94,9;04:50;32,62;17:30;1,55;67,99;5,9;11:11;17,56;30,12;0;0;4,54
5;1;18/05/2010;2010;138;13,2;22,95;14:50;1,23;04:10;57,6;95;04:30;24,52;14:40;1,37;93,5;5,85;11:38;46,7;30,29;0;0;4,91
5;1;19/05/2010;2010;139;14,67;22,82;13:40;3,36;04:20;57,9;92,3;04:30;31,07;15:10;2,47;48,05;7,91;15:54;31,03;30,05;0;0;5,33
5;1;20/05/2010;2010;140;14,46;24,68;15:50;3,5;04:20;59,18;93;04:20;26,93;16:40;1,6;41,11;5,56;12:55;28,47;30,44;0;0;5,27
5;1;21/05/2010;2010;141;17,97;27,56;14:00;4,23;03:40;50,23;93,3;04:10;17,44;14:10;1,65;109,4;7,9;15:11;88,7;30,66;0;0;5,86
5;1;22/05/2010;2010;142;19,97;29,43;14:40;9,77;04:30;44,25;78,2;00:00;20,92;12:50;1,92;158,9;7,15;11:34;104,5;28,69;0;0;6,21
5;1;23/05/2010;2010;143;19,93;28,89;15:10;9,97;04:20;50,66;82,5;04:30;21,52;12:50;1,99;244,9;7,48;17:05;281,2;29,46;0;0;6,25
5;1;24/05/2010;2010;144;19,79;26,82;14:10;11,76;03:50;51;84,9;04:20;26,13;12:00;2,83;188,5;8,96;12:03;169,1;28,28;0;0;6,26
5;1;25/05/2010;2010;145;15,66;22,29;12:30;9,57;04:10;62,24;88,7;00:00;31,82;11:50;3,45;254,8;9,43;12:42;277,7;24,95;0;0;5,26
5;1;26/05/2010;2010;146;14,49;21,89;14:10;7,03;04:00;64,19;96,5;04:20;31,14;14:10;2,06;262,3;7,44;13:39;309,1;28,57;0;0;4,97
5;1;27/05/2010;2010;147;14,03;21,49;11:00;6,5;04:30;70,8;95;20:30;36,96;11:00;1,41;197,7;9,25;16:29;248,3;18,45;11,6;6,78;3,58
5;1;28/05/2010;2010;148;13,89;21,29;15:10;9,23;22:20;73,3;94,6;00:50;36,16;15:10;2,02;297,7;6,28;13:40;322,9;21,22;0;0;4,12
5;1;29/05/2010;2010;149;15,54;23,55;15:20;7,76;03:50;65,12;93,3;04:00;32,74;15:50;1,9;281,9;5,96;11:46;294,1;29,36;0;0;5,21
5;1;30/05/2010;2010;150;17,92;26,76;15:30;8,9;03:50;64,34;95,5;04:20;29,07;15:20;1,46;273,4;4,95;15:22;313,1;30,84;0;0;5,62
5;1;31/05/2010;2010;151;19,83;28,83;14:20;9,57;04:20;61,37;92,6;03:20;28,53;13:50;1,3;324,4;5,8;17:17;306;30,97;0;0;5,83
5;1;01/06/2010;2010;152;22,71;29,09;16:00;0;12:23;48,41;79,5;23:00;;12:23;1,86;355,3;6,18;12:44;336,5;10,42;0,6;;
5;1;02/06/2010;2010;153;20,37;28,83;14:10;12,23;02:30;55,35;88,3;02:30;25,46;13:20;1,37;50,12;7,02;14:37;11,1;25;0;0;5,27
5;1;03/06/2010;2010;154;20,94;29,5;14:30;13,03;01:10;51,75;84,9;03:10;26,19;14:30;1,71;318,3;6,62;14:27;341,9;26,56;0;0;5,81
